song_name,song_artist
Anti-Hero,Taylor Swift
Lift Me Up,Rihanna
Unholy,Sam Smith & Kim Petras
Bad Habit,Steve Lacy
As It Was,Harry Styles
Lavender Haze,Taylor Swift
Midnight Rain,Taylor Swift
I Like You (A Happier Song),Post Malone Featuring Doja Cat
Bejeweled,Taylor Swift
Super Freaky Girl,Nicki Minaj
Shirt,SZA
Maroon,Taylor Swift
I Ain't Worried,OneRepublic
You Proof,Morgan Wallen
I'm Good (Blue),David Guetta & Bebe Rexha
Snow On The Beach,Taylor Swift Featuring Lana Del Rey
Karma,Taylor Swift
Vegas,Doja Cat
Sunroof,Nicky Youre & dazy
"You're On Your Own, Kid",Taylor Swift
Under The Influence,Chris Brown
Wasted On You,Morgan Wallen
In My Head,Juice WRLD
Vigilante Shit,Taylor Swift
Jimmy Cooks,Drake Featuring 21 Savage
Thriller,Michael Jackson
Die For You,The Weeknd
Wait For U,Future Featuring Drake & Tems
Something In The Orange,Zach Bryan
Titi Me Pregunto,Bad Bunny
Cuff It,Beyonce
Question...?,Taylor Swift
About Damn Time,Lizzo
Late Night Talking,Harry Styles
Tomorrow 2,GloRilla & Cardi B
The Kind Of Love We Make,Luke Combs
She Had Me At Heads Carolina,Cole Swindell
Mastermind,Taylor Swift
Unstoppable,Sia
Hold Me Closer,Elton John & Britney Spears
Me Porto Bonito,Bad Bunny & Chencho Corleone
Labyrinth,Taylor Swift
Thank God,Kane Brown With Katelyn Brown
5 Foot 9,Tyler Hubbard
Sweet Nothing,Taylor Swift
Golden Hour,JVKE
Monster Mash,"Bobby ""Boris"" Pickett And The Crypt-Kickers"
Just Wanna Rock,Lil Uzi Vert
Ghostbusters,Ray Parker Jr.
Fall In Love,Bailey Zimmerman
The Astronaut,JIN
Half Of Me,Thomas Rhett Featuring Riley Green
Until I Found You,Stephen Sanchez
Rock And A Hard Place,Bailey Zimmerman
California Breeze,Lil Baby
Victoria’s Secret,Jax
Son Of A Sinner,Jelly Roll
What My World Spins Around,Jordan Davis
"Would've, Could've, Should've",Taylor Swift
Star Walkin' (League Of Legends Worlds Anthem),Lil Nas X
Heyy,Lil Baby
Music For A Sushi Restaurant,Harry Styles
Made You Look,Meghan Trainor
Forever,Lil Baby Featuring Fridayy
Romantic Homicide,d4vd
Don't Come Lookin',Jackson Dean
Wishful Drinking,Ingrid Andress With Sam Hunt
Bigger Than The Whole Sky,Taylor Swift
Free Mind,Tems
No Se Va,Grupo Frontera
The Great War,Taylor Swift
Billie Eilish.,Armani White
Paris,Taylor Swift
Whiskey On You,Nate Smith
All Mine,Brent Faiyaz
Wait In The Truck,HARDY Featuring Lainey Wilson
Monotonia,Shakira + Ozuna
Hotel Lobby (Unc And Phew),Quavo & Takeoff
High Infidelity,Taylor Swift
2 Be Loved (Am I Ready),Lizzo
Staying Alive,DJ Khaled Featuring Drake & Lil Baby
Real Spill,Lil Baby
Last Last,Burna Boy
Miss You,Oliver Tree & Robin Schulz
Never Hating,Lil Baby & Young Thug
Glitch,Taylor Swift
Freestyle,Lil Baby
Calm Down,Rema & Selena Gomez
Stand On It,Lil Baby
La Bachata,Manuel Turizo
Gotta Move On,Diddy & Bryson Tiller
Ain't Safe,Trippie Redd & Don Toliver
Pick Me Up,Gabby Barrett
Betty (Get Money),Yung Gravy
Gatubela,Karol G x Maldy
300 Blackout,Kodak Black
Dear Reader,Taylor Swift
Country On,Luke Bryan
"Bzrp Music Sessions, Vol. 52",Bizarrap & Quevedo
Evergreen,Omar Apollo
